Health Facility Code,Health Facility Code Short,Facility Name,Facility Major Type,Health Facility Type,class,Street Name and #,Region Name,Region PSGC,Province Name,Province PSGC,City/Municipality Name,City/Municipality PSGC,Barangay Name,Barangay PSGC,Zip Code,Landline Number,Landline Number 2,Fax Number,Email Address,Service Capability,Bed Capacity,Licensing Status,License Validity Date
DOH000000000000272,272,JAMES L. GORDON MEMORIAL HOSPITAL,Health Facility,Hospital,Government,NO. 1 PERIMETER ROAD,REGION III (CENTRAL LUZON),0300000000,ZAMBALES,0331400000,CITY OF OLONGAPO,0331400000,ASINAN,0331400001,2200,+63 476021229,+63 476021230,+63 476021228,jlghospital@gmail.com,Level 3,270,Licensing Status:With License,NA
DOH000000000032271,32271,BEMONC MARIVELES,Health Facility,Birthing Home,Government,MUNICIPAL COMPOUND,REGION III (CENTRAL LUZON),0300000000,BATAAN,0300800000,MARIVELES,0300807000,POBLACION,0300807008,NA,+63 476334320,NA,NA,armiemoog@gmail.com,NA,0,Licensing Status:With License,NA
DOH000000000006596,6596,TONDO MEDICAL CENTER,Health Facility,Hospital,Government,HONORIO LOPEZ BOULEVARD,NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",1380600000,TONDO I/II,1380601000,BARANGAY 126,1380601126,1012,+63 025221174,+63 025229244,+63 022528661,tmcmcc2015@yahoo.com,Level 3,200,Licensing Status:With License,NA
DOH000000000043967,43967,RURAL HEALTH UNIT II-DAET,Health Related Facility,Birthing Home,Government,MAGALLANES ILAOD,REGION V (BICOL REGION),0500000000,CAMARINES NORTE,0501600000,DAET (CAPITAL),0501603000,BARANGAY I (POB.),0501603024,4600,NA,NA,NA,rhu2daet@gmail.com,NA,0,Licensing Status:With License,12/31/2024
DOH000000000004320,4320,BAYAMBANG DISTRICT HOSPITAL,Health Facility,Hospital,Government,NA,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,BAYAMBANG,010551100,BICAL NORTE,0105511016,2423,+63 755922958,NA,NA,bayambang_districthospital80@yahoo.com,Level 1,89,Licensing Status:With License,NA
DOH000000000032209,32209,CALAYAN INFIRMARY,Health Facility,Infirmary,Government,A. ESCALANTE,REGION II (CAGAYAN VALLEY),020000000,CAGAYAN,020150000,CALAYAN,020150900,POBLACION,0201509008,3520,NA,NA,NA,bricks027@yahoo.com.ph,NA,10,Licensing Status:With License,12/31/2023
DOH000000000039121,39121,RURAL HEALTH UNIT OF TUBAJON AND BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION XIII (CARAGA),1600000000,DINAGAT ISLANDS,1608500000,TUBAJON,1608507000,SAN VICENTE (POB.),1608507008,8426,NA,NA,NA,tubajonrhu@gmail.com,NA,3,Licensing Status:With License,NA
DOH000000000032226,32226,ANDA RURAL HEALTH UNIT BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,ANDA,010550500,POBLACION,0105505014,NA,NA,NA,NA,NA,NA,3,Licensing Status:With License,NA
DOH000000000000597,597,KAPATAGAN PROVINCIAL HOSPITAL,Health Facility,Hospital,Government,NA,REGION X (NORTHERN MINDANAO),1000000000,LANAO DEL NORTE,1003500000,KAPATAGAN,1003505000,POBLACION,1003505036,9214,+63 633828030,NA,NA,KAPATAGANPROVINCIALHOSPITAL@GMAIL.COM,Level 1,100,Licensing Status:With License,NA
DOH000000000004418,4418,LAGUNA PROVINCIAL HOSPITAL - GEN. J. CAILLES MEMORIAL DISTRICT HOSPITAL,Health Facility,Hospital,Government,TAVERA STREET,REGION IV-A (CALABARZON),0400000000,LAGUNA,0403400000,PAKIL,0403420000,TAVERA (POB.),0403420013,4017,+63 495570213,+63 495570214,+63 495570215,caillesjuan@yahoo.com.ph,Level 1,50,Licensing Status:With License,NA
DOH000000000004396,4396,SARANGANI PROVINCIAL HOSPITAL - GLAN,Health Facility,Hospital,Government,D. CANIA STREET,REGION XII (SOCCSKSARGEN),1200000000,SARANGANI,1208000000,GLAN,1208002000,POBLACION,1208002023,9517,083-2621065,NA,NA,gmch2009@yahoo.com,Level 1,30,Licensing Status:With License,NA
DOH000000000007500,7500,BURUANGA MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VI (WESTERN VISAYAS),060000000,AKLAN,060040000,BURUANGA,060040500,POBLACION,0600405012,5609,NA,NA,NA,buruangamh1974@yahoo.com,NA,15,Licensing Status:With License,12/31/2023
DOH000000000045894,45894,AJUY BIRTHING CENTER,Health Facility,Birthing Home,Government,RIZAL STREET,REGION VI (WESTERN VISAYAS),0600000000,ILOILO,0603000000,AJUY,0603001000,POBLACION,0603001022,5012,033-331-9790,NA,NA,ajuy_rhu11@yahoo.com,NA,4,Licensing Status:With License,12/31/2023
DOH000000000033111,33111,DINAS RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA DEL SUR,0907300000,DINAS,0907306000,POBLACION,0907306020,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000004297,4297,SAN LUIS DISTRICT HOSPITAL,Health Facility,Hospital,Government,NA,REGION III (CENTRAL LUZON),0300000000,PAMPANGA,0305400000,SAN LUIS,0305417000,SANTA LUCIA,0305417013,2014,NA,NA,NA,sldhosp@yahoo.com,Level 1,25,Licensing Status:With License,NA
DOH000000000006031,6031,SARANGANI PROVINCIAL HOSPITAL - MALUNGON,Health Facility,Hospital,Government,PUROK MALIWANAG,REGION XII (SOCCSKSARGEN),1200000000,SARANGANI,1208000000,MALUNGON,1208007000,POBLACION,1208007023,9503,(083) 8260379,NA,NA,sphmalungon@gmail.com,Level 1,25,Licensing Status:With License,NA
DOH000000000035442,35442,MONCADA BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION III (CENTRAL LUZON),0300000000,TARLAC,0306900000,MONCADA,0306909000,POBLACION 1,0306909020,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000033076,33076,ISABELA WEST BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,CITY OF ISABELA (NOT A PROVINCE),0990100000,CITY OF ISABELA,0990101000,TABUK (POB.),0990101051,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000002159,2159,MANITO MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,P-7 J. SAÑEZ STREET,REGION V (BICOL REGION),050000000,ALBAY,050050000,MANITO,050051100,IT-BA (POB.),0500511010,4514,+63 522840644,NA,NA,manitomunicipal@yahoo.com,N/A,10,Licensing Status:With License,12/31/2023
DOH000000000005358,5358,CITY OF CANDON HOSPITAL,Health Facility,Hospital,Government,NATIONAL HIGHWAY,REGION I (ILOCOS REGION),0100000000,ILOCOS SUR,0102900000,CITY OF CANDON,0102906000,SAN NICOLAS,0102906040,2710,+63 777425675,NA,+63 777425675,CITYOFCANDONHOSPITAL@YAHOO.COM,Level 2,25,Licensing Status:With License,NA
DOH000000000007503,7503,CALATRAVA MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VI (WESTERN VISAYAS),060000000,NEGROS OCCIDENTAL,060450000,CALATRAVA,060450500,LO-OK (POB.),0604505019,6126,+63 347277779,NA,NA,hospitalcalatrava@yahoo.com,NA,10,Licensing Status:With License,12/31/2023
DOH000000000038769,38769,CEBU CITY GOVERNMENT/CARRETA LYING-IN AND HEALTH CENTER,Health Facility,Birthing Home,Government,GENERAL MAXILOM AVENUE EXTENSION,REGION VII (CENTRAL VISAYAS),0700000000,CEBU,0730600000,CITY OF CEBU (CAPITAL),0730600000,CARRETA,0730600021,6000,+63 324160826,NA,NA,plukjen.ibarita@gmail.com,NA,3,Licensing Status:With License,NA
DOH000000000033846,33846,CALUMPANG BARANGAY HEALTH STATION AND BIRTHING CENTER,Health Facility,Birthing Home,Government,"ZONE 3, JUNTADO SUBDIVISION",REGION VI (WESTERN VISAYAS),0600000000,ILOILO,0631000000,CITY OF ILOILO (CAPITAL),0631000000,CALUMPANG,0631000032,5000,+63 327-4549,NA,NA,dr.pippintayo@gmail.com,NA,2,Licensing Status:With License,01/01/2022
DOH000000000033156,33156,TETUAN MAIN HEALTH CENTER BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA DEL SUR,0931700000,CITY OF ZAMBOANGA,0931700000,TETUAN,0931700087,7000,9953397,NA,NA,NA,NA,3,Licensing Status:With License,NA
DOH000000000035440,35440,MAYANTOC RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,PROVINCIAL ROAD,REGION III (CENTRAL LUZON),0300000000,TARLAC,0306900000,MAYANTOC,0306908000,POBLACION SUR,0306908019,2304,(045) 4915005,NA,NA,RHUMayantoc5005@yahoo.com,NA,2,Licensing Status:With License,NA
DOH000000000002983,2983,CASIGURAN DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,REGION III (CENTRAL LUZON),0300000000,AURORA,0307700000,CASIGURAN,0307702000,MARIKIT,0307702016,3204,NA,NA,NA,records_cdh2015 @gmail.com,NA,29,Licensing Status:With License,NA
DOH000000000032931,32931,DATU ANGGAL MIDTIMBANG RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,MAGUINDANAO DEL SUR,1908800000,DATU ANGGAL MIDTIMBANG,1908804000,ADAON,1908804001,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000004113,4113,PAGAMUTANG BAYAN NG CARMONA,Health Facility,Infirmary,Government,252 SAN JOSE STREET,REGION IV-A (CALABARZON),0400000000,CAVITE,0402100000,CARMONA,0402104000,BARANGAY 2 (POB.),0402104013,4116,+63 464301644,NA,NA,NA,NA,15,Licensing Status:With License,NA
DOH000000000037942,37942,AWUYON COMMUNITY MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,GOVERNOR GENEROSO STREET,REGION XI (DAVAO REGION),110000000,DAVAO ORIENTAL,110250000,BAGANGA,110250100,CENTRAL (POB.),1102501008,NA,087 306 2535,NA,+63 9459962959,acmhospital@gmail.com,NA,15,Licensing Status:With License,12/31/2023
DOH000000000032971,32971,GANNASI RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,LANAO DEL SUR,1903600000,GANASSI,1903609000,POBLACION,1903609018,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000036273,36273,LUN PADIDU BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION XII (SOCCSKSARGEN),1200000000,SARANGANI,1208000000,MALAPATAN,1208006000,LUN PADIDU,1208006006,9516,NA,NA,NA,rhumalpob@yahoo.com,NA,4,Licensing Status:With License,NA
DOH000000000003587,3587,TAYUM RURAL HEALTH UNIT,Health Facility,Birthing Home,Government,NA,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,ABRA,140010000,TAYUM,140012400,POBLACION,1400124010,2803,NA,NA,NA,tayumrhu@yahoo.com,NA,0,Licensing Status:With License,12/31/2023
DOH000000000032449,32449,LEGAZPI CHO - NORTHERN DISTRICT MATERNITY LYING-IN CLINIC,Health Facility,Birthing Home,Government,NA,REGION V (BICOL REGION),0500000000,ALBAY,0500500000,CITY OF LEGAZPI (CAPITAL),0500506000,BGY. 51 - BUYUAN,0500506049,NA,+63 524800695,NA,NA,NA,NA,4,Licensing Status:With License,12/31/2024
DOH000000000033025,33025,TUBURAN RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,BASILAN,1900700000,TUBURAN,1900707000,TABLAS USEW,1900707033,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000004124,4124,QUEZON CITY GENERAL HOSPITAL,Health Facility,Hospital,Government,"SEMINARY ROAD, EDSA",NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",1374000000,QUEZON CITY,1381300000,BAHAY TORO,1381300012,NA,+63 024261383,+63 024261321,+63 029207081,qcghdo@gmail.com,Level 3,250,Licensing Status:With License,NA
DOH000000000002343,2343,ROSARIO MUNICIPAL HEALTH UNIT AND FAMILY PLANNING HEALTH CLINIC,Health Facility,Birthing Home,Government,AQUITANIA ST.,REGION I (ILOCOS REGION),010000000,LA UNION,010330000,ROSARIO,010331300,POBLACION EAST,0103313022,2506,(072) 619-6014,NA,NA,rhurosariolaunion@gmail.com,NA,0,NA,NA
DOH000000000030126,30126,SAGÑAY INFIRMARY,Health Facility,Infirmary,Government,NA,REGION V (BICOL REGION),050000000,CAMARINES SUR,050170000,SAG?AY,050173100,SAN ROQUE (POB.),0501731018,4421,NA,NA,NA,sagnayinfirmary@gmail.com,NA,15,Licensing Status:With License,12/31/2023
DOH000000000003498,3498,OSPITAL NG MAYNILA MEDICAL CENTER,Health Facility,Hospital,Government,"PRES. QUIRINO AVENUE, CORNER ROXAS BOULEVARD",NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",1380600000,MALATE,1380610000,BARANGAY 700,1380610015,1004,+63 025246063,+63 025246064,+63 025218490,ommc_a@yahoo.com,Level 3,300,Licensing Status:With License,NA
DOH000000000039904,39904,BAUAN RURAL HEALTH UNIT II,Health Facility,Birthing Home,Government,C. Ingco Street,REGION IV-A (CALABARZON),0400000000,BATANGAS,0401000000,BAUAN,0401006000,APLAYA,0401006002,4201,+63 439809147,NA,NA,rhu_bauan2@yahoo.com,NA,2,Licensing Status:With License,NA
DOH000000000005733,5733,ITOGON DISTRICT HOSPITAL,Health Facility,Infirmary,Government,SITIO KERENG,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000,BENGUET,140110000,ITOGON,140110600,TINONGDAN,1401106006,2604,NA,NA,NA,itogondistricthospital@benguet.gov.ph,NA,10,Licensing Status:With License,12/31/2023
DOH000000000038542,38542,HINUNDAYAN RURAL HEALTH UNIT - BIRTHING FACILITY,Health Facility,Birthing Home,Government,ANTIPALA STREET,REGION VIII (EASTERN VISAYAS),0800000000,SOUTHERN LEYTE,0806400000,HINUNDAYAN,0806404000,DISTRICT I (POB.),0806404008,6609,NA,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000039546,39546,MARIA RURAL HEATH UNIT BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,SIQUIJOR,0706100000,MARIA,0706104000,POBLACION SUR,0706104020,6229,NA,NA,NA,rhu_maria@yahoo.com,NA,2,Licensing Status:With License,NA
DOH000000000002777,2777,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,Health Facility,Hospital,Government,QUEZON AVENUE,REGION I (ILOCOS REGION),0100000000,LA UNION,0103300000,CITY OF SAN FERNANDO (CAPITAL),0103314000,PARIAN,0103314045,2500,+63 726076422,NA,+63 728883671,ITRMC2010@YAHOO.COM,Level 3,300,Licensing Status:With License,NA
DOH000000000040412,40412,QUEZON CITY HEALTH DEPARTMENT - MURPHY LYING IN CLINIC,Health Facility,Birthing Home,Government,18TH AVENUE,NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",1374000000,QUEZON CITY,1381300000,SAN ROQUE,1381300102,NA,NA,NA,NA,murphylicqcd3@gmail.com,NA,10,Licensing Status:With License,NA
DOH000000000047410,47410,KOLONG KOLONG BIRTHING HOME,Health Facility,Birthing Home,Government,NATIONAL HIGHWAY,REGION XII (SOCCSKSARGEN),1200000000,SULTAN KUDARAT,1206500000,PALIMBANG,1206509000,KULONG-KULONG,1206509017,9809,NA,NA,NA,NA,NA,1,NA,NA
DOH000000000032941,32941,KABUNTALAN RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,MAGUINDANAO DEL NORTE,1908700000,KABUNTALAN,1908706000,LOWER TAVIRAN,1908706009,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000000268,268,DAVAO REGIONAL MEDICAL CENTER,Health Facility,Hospital,Government,NA,REGION XI (DAVAO REGION),1100000000,DAVAO DEL NORTE,1102300000,CITY OF TAGUM (CAPITAL),1102319000,APOKON,1102319001,8100,+63 842169157,NA,NA,NA,Level 3,600,Licensing Status:With License,NA
DOH000000000007971,7971,WILFREDO C. PALMA MEMORIAL HOSPITAL,Health Facility,Infirmary,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA SIBUGAY,0908300000,DIPLAHAN,0908303000,POBLACION,0908303004,7039,NA,NA,NA,mho.diplahan@gmail.com,NA,12,Licensing Status:With License,12/31/2023
DOH000000000035425,35425,CITY OF MEYCAUAYAN BIRTHING STATION,Health Facility,Birthing Home,Government,NA,REGION III (CENTRAL LUZON),0300000000,BULACAN,0301400000,CITY OF MEYCAUAYAN,0301412000,POBLACION,0301412020,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000038552,38552,SAN JUAN BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,LA UNION,010330000,SAN JUAN,010331600,ILI SUR (POB.),0103316021,NA,NA,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000038587,38587,SEVILLA RURAL HEALTH UNIT AND BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,BOHOL,0701200000,SEVILLA,0701239000,POBLACION,0701239014,6347,63,63,NA,rhusevilla@yahoo.com,NA,3,Licensing Status:With License,NA
DOH000000000000499,499,DR. JOSE FABELLA MEMORIAL HOSPITAL,Health Facility,Hospital,Government,LOPE DE VEGA STREET,NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",1380600000,SANTA CRUZ,1380605000,BARANGAY 311,1380605013,1003,+63 027345561,+63 023146009,+63 027357146,JFMH@DOH.GOV.PH,Level 3,700,Licensing Status:With License,NA
DOH000000000032365,32365,SAN SIMON RURAL HEALTH UNIT BIRTHING STATION,Health Facility,Birthing Home,Government,NA,REGION III (CENTRAL LUZON),0300000000,PAMPANGA,0305400000,SAN SIMON,0305418000,SAN JOSE,0305418006,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000040571,40571,CANUMAY WEST LYING IN CLINIC,Health Facility,Birthing Home,Government,"9 T. Santiago St.,",NATIONAL CAPITAL REGION (NCR),1300000000,"NCR, THIRD DISTRICT (NOT A PROVINCE)",1375000000,CITY OF VALENZUELA,1381600000,CANUMAY WEST,1381600007,NA,NA,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000032236,32236,BALUNGAO RURAL HEALTH UNIT BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),010000000,PANGASINAN,010550000,BALUNGAO,010550700,POBLACION,0105507008,NA,NA,NA,NA,NA,NA,3,Licensing Status:With License,NA
DOH000000000005938,5938,TORRIJOS MUNICIPAL HOSPITAL,Health Facility,Infirmary,Government,RIZAL STREET,MIMAROPA REGION,1700000000,MARINDUQUE,1704000000,TORRIJOS,1704006000,POBLACION,1704006020,4903,(042) 7530218,NA,NA,dojosine@yahoo.com,NA,10,Licensing Status:With License,NA
DOH000000000042725,42725,QUEZON HEALTH CENTER INFIRMARY,Health Facility,Infirmary,Government,Balangay 3,REGION X (NORTHERN MINDANAO),1000000000,BUKIDNON,1001300000,QUEZON,1001317000,POBLACION,1001317028,8715,NA,NA,NA,lgu.quezon.bukidnon@gmail.com,NA,17,Licensing Status:With License,12/31/2023
DOH000000000039469,39469,SAMBOAN BIRTHING CENTER,Health Facility,Birthing Home,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,CEBU,0702200000,SAMBOAN,0702240000,POBLACION,0702240011,6027,+63 324790141,NA,NA,samboanrhu@gmail.com,NA,3,Licensing Status:With License,NA
DOH000000000037738,37738,TANDAG CITY HEALTH OFFICE AND BIRTHING CLINIC,Health Facility,Birthing Home,Government,COR. DELICONA AND QUEZON STREET,REGION XIII (CARAGA),1600000000,SURIGAO DEL SUR,1606800000,CITY OF TANDAG (CAPITAL),1606819000,DAGOCDOC (POB.),1606819006,8300,(086) 2113349,NA,NA,cityhealthoffice_tandagcity@yahoo.com,NA,3,Licensing Status:With License,NA
DOH000000000039068,39068,"CITY OF IMUS DOCTORS HOSPITAL, INC.",Health Facility,Hospital,Government,NA,REGION IV-A (CALABARZON),0400000000,CAVITE,0402100000,CITY OF IMUS,0402109000,ALAPAN I-A,0402109001,NA,NA,NA,NA,NA,Level 2,100,Licensing Status:With License,NA
DOH000000000032414,32414,SANTA IGNACIA RURAL HEALTH UNIT AND LYING IN CLINIC,Health Facility,Birthing Home,Government,IGNACIO STREET,REGION III (CENTRAL LUZON),0300000000,TARLAC,0306900000,SANTA IGNACIA,0306915000,POBLACION WEST,0306915014,2303,606-3101,NA,NA,LGU_SANTA_IGNACIA@yahoo.com,NA,3,Licensing Status:With License,NA
DOH000000000037972,37972,IRIGA CITY BIRTHING HOME,Health Facility,Birthing Home,Government,ZONE 3,REGION V (BICOL REGION),0500000000,CAMARINES SUR,0501700000,CITY OF IRIGA,0501716000,SAN ISIDRO,0501716017,NA,NA,NA,NA,NA,NA,1,Licensing Status:With License,NA
DOH000000000037720,37720,"CARMEN RHU, ADN",Health Facility,Birthing Home,Government,NA,REGION XIII (CARAGA),160000000,AGUSAN DEL NORTE,160020000,CARMEN,160020400,POBLACION,1600204009,NA,NA,NA,NA,carmenrhu@gmail.com,NA,3,Licensing Status:With License,NA
DOH000000000000657,657,JIMENEZ MEDICARE COMMUNITY HOSPITAL,Health Facility,Infirmary,Government,59 GOMEZ STREET,REGION X (NORTHERN MINDANAO),1000000000,MISAMIS OCCIDENTAL,1004200000,JIMENEZ,1004207000,NACIONAL (POB.),1004207016,7204,+63 882723911,+63 885451543,NA,jmch59@gmail.com,NA,15,Licensing Status:With License,12/31/2023
DOH000000000044526,44526,BANAYOYO RHU - FARMERS' BIRTHING CLINIC,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),0100000000,ILOCOS SUR,0102900000,BANAYOYO,0102902000,POBLACION,0102902015,2708,NA,NA,NA,banayoyorhu@yahoo.com,NA,2,Licensing Status:With License,NA
DOH000000000001810,1810,SAN MIGUEL HOSPITAL,Health Facility,Infirmary,Government,NA,REGION VII (CENTRAL VISAYAS),0700000000,BOHOL,0701200000,SAN MIGUEL,0701238000,POBLACION,0701238014,6323,NA,NA,NA,sanmiguelhosp2009@yahoo.com.ph,NA,10,Licensing Status:With License,NA
DOH000000000033534,33534,BAGUIO BARANGAY HEALTH STATION BIRTHING HOME,Health Facility,Birthing Home,Government,NA,REGION IV-A (CALABARZON),0400000000,QUEZON,0405600000,CITY OF TAYABAS,0405647000,BAGUIO,0405647013,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000000622,622,LOBO MUNICIPAL HOSPITAL,Health Facility,Hospital,Government,NA,REGION IV-A (CALABARZON),0400000000,BATANGAS,0401000000,LOBO,0401015000,FABRICA,0401015009,4229,NA,NA,NA,lobo_municipal_hospital@yahoo.com,Level 1,14,Licensing Status:With License,NA
DOH000000000032962,32962,BALABAGAN RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,LANAO DEL SUR,1903600000,BALABAGAN,1903602000,POBLACION,1903602039,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000038703,38703,MUNICIPAL HEALTH OFFICE SANTO DOMINGO BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION I (ILOCOS REGION),0100000000,ILOCOS SUR,0102900000,SANTO DOMINGO,0102928000,SAN PABLO,0102928033,NA,NA,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000047621,47621,BARANGAY BACALAN HEALTH STATION/BIRTHING CLINIC,Health Facility,Birthing Home,Government,NA,REGION VI (WESTERN VISAYAS),0600000000,ANTIQUE,0600600000,SEBASTE,0600615000,BACALAN,0600615005,NA,NA,NA,NA,lorielievalde@gmail.com,NA,1,Licensing Status:With License,12/31/2023
DOH000000000032622,32622,LAPINIG RURAL HEALTH UNIT AND FAMILY PLANNING CENTER,Health Facility,Birthing Home,Government,LIAD STREET,REGION VIII (EASTERN VISAYAS),0800000000,NORTHERN SAMAR,0804800000,LAPINIG,0804809000,LAPINIG DEL SUR (POB.),0804809007,6423,NA,NA,NA,rhulapinig123@gmail.com,NA,2,Licensing Status:With License,NA
DOH000000000033005,33005,TALIPAO RURAL HEALTH UNIT BIRTHING HOME,Health Facility,Birthing Home,Government,NA,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,SULU,1906600000,TALIPAO,1906613000,BILAAN (POB.),1906613004,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000037978,37978,BULA RHU-I BIRTHING FACILITY,Health Facility,Birthing Home,Government,NA,REGION V (BICOL REGION),0500000000,CAMARINES SUR,0501700000,BULA,0501706000,SALVACION (POB.),0501706022,NA,NA,NA,NA,NA,NA,2,Licensing Status:With License,NA
DOH000000000000716,716,PIÑAN DISTRICT HOSPITAL,Health Facility,Infirmary,Government,NA,REGION IX (ZAMBOANGA PENINSULA),0900000000,ZAMBOANGA DEL NORTE,0907200000,PI?AN,0907209000,POBLACION NORTH,0907209013,7105,NA,NA,NA,pinan718pdh@gmail.com,NA,25,Licensing Status:With License,12/31/2023
DOH000000000044610,44610,BAGUMBAYAN INFIRMARY,Health Facility,Infirmary,Government,PUROK LAUREL,REGION XII (SOCCSKSARGEN),1200000000,SULTAN KUDARAT,1206500000,BAGUMBAYAN,1206501000,POBLACION,1206501009,9810,064-4711096,NA,NA,infirmarybagumbayan@gmail.com,NA,12,Licensing Status:With License,NA
DOH000000000006572,6572,FEDERICO ROMAN TIRADOR SR. MEMORIAL DISTRICT HOSPITAL,Health Facility,Hospital,Government,NA,REGION VI (WESTERN VISAYAS),060000000,ILOILO,060300000,JANIUAY,060302300,JIBOLO,0603023025,5034,+63 333171319,NA,NA,NA,Level 1,50,Licensing Status:With License,12/31/2023
DOH000000000037401,37401,VILLANUEVA LYING-IN,Health Facility,Birthing Home,Government,NA,REGION X (NORTHERN MINDANAO),1000000000,MISAMIS ORIENTAL,1004300000,VILLANUEVA,1004326000,NA,NA,NA,NA,NA,NA,NA,NA,0,Licensing Status:With License,NA
DOH000000000000459,459,COTABATO REGIONAL AND MEDICAL CENTER,Health Facility,Hospital,Government,SINSUAT AVENUE,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900000000,MAGUINDANAO DEL NORTE,1908700000,CITY OF COTABATO,1908703000,ROSARY HEIGHTS,1908703004,9600,+63 644212192,NA,+63 644212192,NA,Level 3,375,Licensing Status:With License,NA
DOH000000000002405,2405,CONCEPCION DISTRICT HOSPITAL,Health Facility,Hospital,Government,ST. JUDE VILLAGE,REGION III (CENTRAL LUZON),0300000000,TARLAC,0306900000,CONCEPCION,0306905000,ALFONSO,0306905001,2316,+63 459230852,NA,NA,rhuconcepcion@yahoo.com,Level 1,50,Licensing Status:With License,NA
